,value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol,fluorometer,
SAMPLE-001,9953.44,RFU,na,solid std,na,na,phyco_rfu,16,9,2021,na,G04,
SAMPLE-029,42.32,RFU,yawgoo,blank,int,1,blank,26,7,2021,na,G04,
SAMPLE-030,35.2,RFU,yawgoo,blank,int,2,blank,26,7,2021,na,G04,
SAMPLE-031,57.16,RFU,yawgoo,1,int,1,phyco_rfu,26,7,2021,250,G04,
SAMPLE-032,45.31,RFU,yawgoo,1,int,2,phyco_rfu,26,7,2021,250,G04,
SAMPLE-033,47.08,RFU,yawgoo,2,int,1,phyco_rfu,26,7,2021,250,G04,
SAMPLE-034,42.5,RFU,yawgoo,2,int,2,phyco_rfu,26,7,2021,250,G04,
SAMPLE-035,49.42,RFU,yawgoo,3,int,1,phyco_rfu,26,7,2021,250,G04,
SAMPLE-036,51.87,RFU,yawgoo,3,int,2,phyco_rfu,26,7,2021,250,G04,
SAMPLE-037,284.28,RFU,yawgoo,4,int,1,phyco_rfu,26,7,2021,250,G04,sediment
SAMPLE-039,65.78,RFU,yawgoo,4,int,2,phyco_rfu,26,7,2021,250,G04,sediment
SAMPLE-040,59.85,RFU,yawgoo,5,int,1,phyco_rfu,26,7,2021,250,G04,
SAMPLE-041,97.88,RFU,yawgoo,5,int,2,phyco_rfu,26,7,2021,250,G04,
SAMPLE-042,55.21,RFU,yawgoo,6,int,1,phyco_rfu,26,7,2021,250,G04,
SAMPLE-043,55.53,RFU,yawgoo,6,int,2,phyco_rfu,26,7,2021,250,G04,
SAMPLE-044,52.85,RFU,yawgoo,p,int,1,phyco_rfu,26,7,2021,250,G04,
SAMPLE-045,57.52,RFU,yawgoo,p,int,2,phyco_rfu,26,7,2021,250,G04,
SAMPLE-046,55.91,RFU,yawgoo,p,int,3,phyco_rfu,26,7,2021,250,G04,
SAMPLE-048,9965.18,RFU,na,solid std,na,na,phyco_rfu,16,9,2021,na,G04,
